Origin Country,Destination Country,HS Code,HTS / Regional Tariff Flag,Product Category,Product Description,Package Type & Weight Range,Mode of Transport,Required Documents
South Africa,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Air, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
United States,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
France,China,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
Canada,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
Germany,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Japan,Indonesia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Indonesia,United Kingdom,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
India,Singapore,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
United Kingdom,China,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
South Africa,China,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
United Kingdom,China,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
India,Mexico,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Road, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
Canada,UAE,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
South Africa,Brazil,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Air, Commercial Invoice; Packing List
Australia,China,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Germany,Canada,280700,Yes,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Germany,Mexico,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Japan,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Air, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
